LineId,Content,EventId,EventTemplate
25,Weak signal. Adjust antennas (Code: 80016).,18,Weak signal. Adjust antennas (Code: 80016).
26,Remote ID functionality normal (Code: 30331).,197,Remote ID functionality normal (Code: 30331).
27,Motor is Blocked.,401,Motor is Blocked.
28,Aircraft battery level low. Return to home promptly (Code: 1B030014).,4,Aircraft battery level low. Return to home promptly (Code: 1B030014).
29,Downlink data connection lost for nnn seconds.,309,Downlink data connection lost for nnn seconds.
30,Switched to P (Positioning)-mode.,499,Switched to P (Positioning)-mode.
31,RTK signal weak. Move to an open area for takeoff or turn off RTK.,455,RTK signal weak. Move to an open area for takeoff or turn off RTK.
32,Strong wind warning. Aircraft unable to return to home automatically. Lower altitude immediately and return to home manually (Code: 30149).,503,Strong wind warning. Aircraft unable to return to home automatically. Lower altitude immediately and return to home manually (Code: 30149).
33,Aircraft antenna satellite signal searching error. Fly with caution (0x1610008f).,487,Aircraft antenna satellite signal searching error. Fly with caution (0x1610008f).
34,Obstacle Avoided. Revise Flight Route.,122,Obstacle Avoided. Revise Flight Route.
35,Home Point updated. RTH altitude adjusted to nnn (Code: 120852).,69,Home Point updated. RTH altitude adjusted to nnn (Code: 120852).
36,Not Enough Force/ESC Error.,479,Not Enough Force/ESC Error.
37,Remote controller in high interference environment. Manually adjust flight route or return to home (Code: 80014).,26,Remote controller in high interference environment. Manually adjust flight route or return to home (Code: 80014).
38,Starting Smart Track.,431,Starting Smart Track.
39,"Cannot switch flight mode. Turn on ""Multiple Flight Modes"" to enable Atti and Sport Modes.",170,"Cannot switch flight mode. Turn on ""Multiple Flight Modes"" to enable Atti and Sport Modes."
40,Aircraft in Attitude mode. Unable to hover. Fly with caution (Code: 30004).,443,Aircraft in Attitude mode. Unable to hover. Fly with caution (Code: 30004).
41,Object too far for laser rangefinder.,179,Object too far for laser rangefinder.
42,"Braking now. Return sticks to midpoints, then continue flying.",7,"Braking now. Return sticks to midpoints, then continue flying."
43,Vision systems and obstacle avoidance disabled (Code: 180059).,380,Vision systems and obstacle avoidance disabled (Code: 180059).
44,Manned aircraft detected nearby. Fly with caution (Code: 30179).,433,Manned aircraft detected nearby. Fly with caution (Code: 30179).
45,Ambient light too low. Vision system and obstacle sensing unavailable. Fly with caution (Code: 1A420BC6).,114,Ambient light too low. Vision system and obstacle sensing unavailable. Fly with caution (Code: 1A420BC6).
46,Vision sensor(s) blocked. Fly with caution (Code: 180038).,346,Vision sensor(s) blocked. Fly with caution (Code: 180038).
47,No SD card. Insert card (Code: 10022).,296,No SD card. Insert card (Code: 10022).
48,Critical low battery. Aircraft landing automatically (Code: 30033).,23,Critical low battery. Aircraft landing automatically (Code: 30033).
49,High altitude. Aircraft braking distance increased and flight time decreased. Fly with caution (Code: 30238).,55,High altitude. Aircraft braking distance increased and flight time decreased. Fly with caution (Code: 30238).
50,Object too close to laser rangefinder.,506,Object too close to laser rangefinder.
51,Low battery. Return to home promptly (Code: 120732).,96,Low battery. Return to home promptly (Code: 120732).
52,Obstacle Avoidance will be disabled in landing.,444,Obstacle Avoidance will be disabled in landing.
53,Aircraft is returning to the Home Point. RTH Altitude is nnn. You can reset the RTH Altitude in Remote Controller Settings after cancelling RTH if necessary.,74,Aircraft is returning to the Home Point. RTH Altitude is nnn. You can reset the RTH Altitude in Remote Controller Settings after cancelling RTH if necessary.
54,Taking off.,162,Taking off.
55,Propeller Fell Off.,329,Propeller Fell Off.
56,Altitude above the takeoff point exceeds nnn. Always fly in compliance with altitude limitations.,412,Altitude above the takeoff point exceeds nnn. Always fly in compliance with altitude limitations.
57,Critical Low Battery (Code: 30032).,80,Critical Low Battery (Code: 30032).
58,Home Point updated (Code: 120852).,456,Home Point updated (Code: 120852).
59,Switched to A (Attitude)-mode.,481,Switched to A (Attitude)-mode.
60,The flight attitude angle is larger in Sport mode. The gimbal will rotate when the aircraft starts or stops. Use Normal mode if required for stable shooting (Code: 40022).,483,The flight attitude angle is larger in Sport mode. The gimbal will rotate when the aircraft starts or stops. Use Normal mode if required for stable shooting (Code: 40022).
61,Compass Error.,62,Compass Error.
62,Critical low battery. Aircraft returning to home (Code: 30184).,4,Critical low battery. Aircraft returning to home (Code: 30184).
63,Maximum Flight Altitude Reached. Adjust altitude in MC Settings if required.,15,Maximum Flight Altitude Reached. Adjust altitude in MC Settings if required.
64,Image transmission signal lost (Code: 80001).,317,Image transmission signal lost (Code: 80001).
65,Ambient light too low. Vision system and obstacle sensing unavailable. Fly with caution (Code: 1A420BC0).,114,Ambient light too low. Vision system and obstacle sensing unavailable. Fly with caution (Code: 1A420BC0).
66,"To take off in non-P mode, toggle Flight Mode Switch to another mode and then toggle it back.",486,"To take off in non-P mode, toggle Flight Mode Switch to another mode and then toggle it back."
67,Critically low power. Aircraft is landing.,118,Critically low power. Aircraft is landing.
68,Upward Obstacle Detected.,463,Upward Obstacle Detected.
69,Aircraft flight control obtained by remote controller B.,68,Aircraft flight control obtained by remote controller B.
70,Landing Gear Raised.,124,Landing Gear Raised.
71,High wind velocity. Fly with caution and land in a safe place ASAP.,108,High wind velocity. Fly with caution and land in a safe place ASAP.
72,Aircraft in Altitude Zone (Altitude limit: nnn). Fly with caution (Code: 190012).,46,Aircraft in Altitude Zone (Altitude limit: nnn). Fly with caution (Code: 190012).
73,GPS signal weak. Hovering unstable. Fly with caution (Code: 30002).,458,GPS signal weak. Hovering unstable. Fly with caution (Code: 30002).
74,Landing Gear Lowering.,507,Landing Gear Lowering.
75,Weak GPS signal. Positional accuracy may be compromised. Please fly with caution.,64,Weak GPS signal. Positional accuracy may be compromised. Please fly with caution.
76,Landing gear lowered. Obstacle Avoidance Disabled.,89,Landing gear lowered. Obstacle Avoidance Disabled.
77,Aircraft in high interference environment. Manually adjust flight route or return to home (Code: 80015).,26,Aircraft in high interference environment. Manually adjust flight route or return to home (Code: 80015).
78,Extended flight distance detected. Always maintain visual line of sight unless otherwise authorized.,471,Extended flight distance detected. Always maintain visual line of sight unless otherwise authorized.
79,Landing Gear Raising.,508,Landing Gear Raising.
80,Warning: Battery Temperature Below 15°C (59F). Warm battery to above 25°C (77F) before flying.,139,Warning: Battery Temperature Below 15°C (59F). Warm battery to above 25°C (77F) before flying.
81,Precision Landing. Correcting Landing Position.,47,Precision Landing. Correcting Landing Position.
82,Weak signal. Avoid blocking the antennas and keep the antennas parallel to and facing toward the aircraft during flight.,158,Weak signal. Avoid blocking the antennas and keep the antennas parallel to and facing toward the aircraft during flight.
83,Motor unable to rotate. Check motor (Code: 30142).,453,Motor unable to rotate. Check motor (Code: 30142).
84,Exiting GPS mode: Unknown Error.,495,Exiting GPS mode: Unknown Error.
85,Forward Obstacle Sensing is not functioning. Ambient Light is too weak.,5,Forward Obstacle Sensing is not functioning. Ambient Light is too weak.
86,Compass interference. Please move the aircraft away from potential interference source or calibrate the compass.,238,Compass interference. Please move the aircraft away from potential interference source or calibrate the compass.
87,Tap the screen to focus.,81,Tap the screen to focus.
88,Video cache has stopped because there is not enough storage space. You can enable Auto Cache Clear or manually delete cache to get enough space.,203,Video cache has stopped because there is not enough storage space. You can enable Auto Cache Clear or manually delete cache to get enough space.
89,Critical low battery. Unable to take off. Recharge promptly (Code: 30032).,414,Critical low battery. Unable to take off. Recharge promptly (Code: 30032).
90,Aircraft is close to the Home Point. Initiating Return to Home will now trigger Auto Landing.,252,Aircraft is close to the Home Point. Initiating Return to Home will now trigger Auto Landing.
91,Altitude Zone nnn.,377,Altitude Zone nnn.
92,Auxiliary Bottom Light turned off.,49,Auxiliary Bottom Light turned off.
93,Warning: Max Flight Altitude Reached. Adjust in Main Controller Settings if necessary.,15,Warning: Max Flight Altitude Reached. Adjust in Main Controller Settings if necessary.
94,Auxiliary Bottom Light turned on.,49,Auxiliary Bottom Light turned on.
95,Backward Obstacle Sensing is not functioning. Ambient Light is too weak.,5,Backward Obstacle Sensing is not functioning. Ambient Light is too weak.
96,Signal Lost. Aircraft returning to Home Point.,348,Signal Lost. Aircraft returning to Home Point.
97,Barometer Dead in Air.,283,Barometer Dead in Air.
98,Motor stuck. Check for objects blocking motor or contact DJI Support for assistance (Code: 30165).,76,Motor stuck. Check for objects blocking motor or contact DJI Support for assistance (Code: 30165).
99,Strong Remote Controller Interference.,297,Strong Remote Controller Interference.
100,"Aircraft max power load reached. Decrease altitude and fly with caution. If this issue persists, land immediately (Code: 30168).",370,"Aircraft max power load reached. Decrease altitude and fly with caution. If this issue persists, land immediately (Code: 30168)."
101,Check whether the propellers are attached to the correct motors based on their markings. Incorrect installation will cause the aircraft to roll over during takeoff (Code: 30251).,394,Check whether the propellers are attached to the correct motors based on their markings. Incorrect installation will cause the aircraft to roll over during takeoff (Code: 30251).
102,Max Altitude Approached. Wait for the GPS satellite signal recovery before ascend.,393,Max Altitude Approached. Wait for the GPS satellite signal recovery before ascend.
103,Payload mode enabled. Max altitude set to nnn and max distance set to nnn. Fly in a wind-free environment to ensure flight safety (Code: 30232).,102,Payload mode enabled. Max altitude set to nnn and max distance set to nnn. Fly in a wind-free environment to ensure flight safety (Code: 30232).
104,Subject lost. Reselect subject (Code: 800018).,385,Subject lost. Reselect subject (Code: 800018).
105,"Aircraft is tilted, please keep the aircraft stationary and level before flight.",419,"Aircraft is tilted, please keep the aircraft stationary and level before flight."
106,Current RTH route will pass a no-fly zone. Pay attention to the aircraft's position to avoid RTH failure.,247,Current RTH route will pass a no-fly zone. Pay attention to the aircraft's position to avoid RTH failure.
107,Gimbal calibration error. Restart aircraft or contact DJI Support if the issue persists (Code: 40011).,405,Gimbal calibration error. Restart aircraft or contact DJI Support if the issue persists (Code: 40011).
108,Lighting environment too dark. Visual positioning inaccurate. Fly with caution (Code: 180032).,14,Lighting environment too dark. Visual positioning inaccurate. Fly with caution (Code: 180032).
109,Strong Aircraft Interference.,361,Strong Aircraft Interference.
110,Aircraft flight control locked.,41,Aircraft flight control locked.
111,Aircraft flight control obtained by remote controller A.,68,Aircraft flight control obtained by remote controller A.
112,Auxiliary Bottom Light set to automatic mode.,422,Auxiliary Bottom Light set to automatic mode.
113,Battery power restricted. Aircraft performance decreased to ensure flight safety. Return to home promptly (Code: 110013).,395,Battery power restricted. Aircraft performance decreased to ensure flight safety. Return to home promptly (Code: 110013).
114,Critical Low Battery (Code: 30183).,464,Critical Low Battery (Code: 30183).
115,Propeller Fell Off. Motor idle. Check whether propellers are installed (Code: 30166).,22,Propeller Fell Off. Motor idle. Check whether propellers are installed (Code: 30166).
116,Return-to-Home Altitude: nnn.,488,Return-to-Home Altitude: nnn.
117,Weak signal. Make sure the remote controller is facing aircraft and avoid blocking the signal (Code: 80016).,324,Weak signal. Make sure the remote controller is facing aircraft and avoid blocking the signal (Code: 80016).
118,Aircraft flight control unlocked.,541,Aircraft flight control unlocked.
119,Braking now! No use to move the stick right. Avoid the obstacle.,330,Braking now! No use to move the stick right. Avoid the obstacle.
120,Homepoint updated. RTH altitude adjusted to nnn (Code: 3000001).,69,Homepoint updated. RTH altitude adjusted to nnn (Code: 3000001).
121,Insufficient SD card space. Change card or delete files (Code: 10035).,496,Insufficient SD card space. Change card or delete files (Code: 10035).
122,Motor idle. Check whether propellers are installed (Code: 30166).,22,Motor idle. Check whether propellers are installed (Code: 30166).
123,Pano successful.,311,Pano successful.
124,Strong Interference to Remote Controller. Signal interruption maybe more likely. Fly with caution.,476,Strong Interference to Remote Controller. Signal interruption maybe more likely. Fly with caution.
125,Battery temperature too low. Fly with caution (Code: 110023).,470,Battery temperature too low. Fly with caution (Code: 110023).
126,EMMC is full.,255,EMMC is full.
127,Extra payload detected. Max altitude set to nnn and max distance set to nnn to ensure flight safety (Code: 30232).,490,Extra payload detected. Max altitude set to nnn and max distance set to nnn to ensure flight safety (Code: 30232).
128,SD card full. Change card or delete files (Code: 10027).,295,SD card full. Change card or delete files (Code: 10027).
129,Unable to take off in low light environment. Ensure there are no metal and magnetic objects near the aircraft and calibrate compass (Code: 30096).,261,Unable to take off in low light environment. Ensure there are no metal and magnetic objects near the aircraft and calibrate compass (Code: 30096).
130,"During Smart Track, you can control lens zoom within a certain limit.",435,"During Smart Track, you can control lens zoom within a certain limit."
131,Gimbal IMU data error. Contact DJI Support for assistance (Code: 40021).,491,Gimbal IMU data error. Contact DJI Support for assistance (Code: 40021).
132,Motor is Blocked. Motor stuck. Check for objects blocking motor or contact DJI Support for assistance (Code: 30165).,76,Motor is Blocked. Motor stuck. Check for objects blocking motor or contact DJI Support for assistance (Code: 30165).
133,Obstacle Avoidance disabled. Fly with caution.,482,Obstacle Avoidance disabled. Fly with caution.
134,Propeller Guard Mounted. Propeller Guard mounted. Forward Obstacle Sensing will be automatically switched off.,284,Propeller Guard Mounted. Propeller Guard mounted. Forward Obstacle Sensing will be automatically switched off.
135,Unable to take off (Code: 30064).,191,Unable to take off (Code: 30064).
136,Downward Obstacle Sensing is not functioning. Ambient Light is too weak.,5,Downward Obstacle Sensing is not functioning. Ambient Light is too weak.
137,Extra payload detected. Return aircraft to an area nearby the home point promptly and fly in a wind-free environment to ensure flight safety (Code: 30231).,67,Extra payload detected. Return aircraft to an area nearby the home point promptly and fly in a wind-free environment to ensure flight safety (Code: 30231).
138,Extra payload detected. Return the aircraft to an area nearby the home point promptly to ensure flight safety (Code: 30231).,67,Extra payload detected. Return the aircraft to an area nearby the home point promptly to ensure flight safety (Code: 30231).
139,Motor unable to rotate. Check for objects blocking motor or contact DJI Support for assistance (Code: 30165).,477,Motor unable to rotate. Check for objects blocking motor or contact DJI Support for assistance (Code: 30165).
140,Propulsion output has been limited to ensure battery health.,411,Propulsion output has been limited to ensure battery health.
141,Strong wireless interference. Please fly with caution.,445,Strong wireless interference. Please fly with caution.
142,"Subject lost, searching.",157,"Subject lost, searching."
143,Account not logged in. Flight altitude and distance restricted to nnn and nnn. Check and log in (Code: 3000003).,367,Account not logged in. Flight altitude and distance restricted to nnn and nnn. Check and log in (Code: 3000003).
144,Aircraft in Authorization Zone. Exit zone promptly (Code: 190004).,366,Aircraft in Authorization Zone. Exit zone promptly (Code: 190004).
145,Compass initialization failed. Restart aircraft (Code: 30063).,429,Compass initialization failed. Restart aircraft (Code: 30063).
146,Intelligent Flight Modes have not been enabled. Enable this option in Main Controller Settings if needed.,390,Intelligent Flight Modes have not been enabled. Enable this option in Main Controller Settings if needed.
147,Obstacle sensing not available at night. Adjust RTH altitude to above tallest surrounding building before flying (Code: 3203600).,417,Obstacle sensing not available at night. Adjust RTH altitude to above tallest surrounding building before flying (Code: 3203600).
148,Panorama Captured Successfully.,409,Panorama Captured Successfully.
149,Tip: Only the first camera can tap-zoom in dual gimbal control mode.,323,Tip: Only the first camera can tap-zoom in dual gimbal control mode.
150,"Tip: When multi-gimbals are controlled together, only the first gimbal spotlight feature is available.",371,"Tip: When multi-gimbals are controlled together, only the first gimbal spotlight feature is available."
151,Weak GPS signal. Aircraft is in Attitude mode and hovering may be unstable. Fly with caution.,432,Weak GPS signal. Aircraft is in Attitude mode and hovering may be unstable. Fly with caution.
152,Aircraft ActiveTrack max speed of nnn and Obstacle Avoidance functions normally.,16,Aircraft ActiveTrack max speed of nnn and Obstacle Avoidance functions normally.
153,Compass error. Ensure there are no metal or magnetic objects near the aircraft and calibrate it before use (Code: 30060).,389,Compass error. Ensure there are no metal or magnetic objects near the aircraft and calibrate it before use (Code: 30060).
154,Gimbal Pitch Limit Reached.,70,Gimbal Pitch Limit Reached.
155,Motor nnn stalled. Land aircraft immediately.,287,Motor nnn stalled. Land aircraft immediately.
156,Pano shooting completed. The sky part is filled automatically.,269,Pano shooting completed. The sky part is filled automatically.
157,Precision Landing. Locating Landing Point.,47,Precision Landing. Locating Landing Point.
158,Remote controller disconnected from aircraft (Code: 30029).,379,Remote controller disconnected from aircraft (Code: 30029).
159,Yaw Error.,289,Yaw Error.
160,Aircraft is in QuickShot Mode. Ensure your environment is free of potential obstacles.,182,Aircraft is in QuickShot Mode. Ensure your environment is free of potential obstacles.
161,Aircraft propulsion system error. Forced landing. Manually control the aircraft and land in an open area.,194,Aircraft propulsion system error. Forced landing. Manually control the aircraft and land in an open area.
162,Camera Settings ActiveTrack Optimized.,542,Camera Settings ActiveTrack Optimized.
163,Color display in the Liveview has been enhanced. Videos and photos will still be shot in D-Log mode.,248,Color display in the Liveview has been enhanced. Videos and photos will still be shot in D-Log mode.
164,Impact detected. Restart aircraft (Code: 30132).,13,Impact detected. Restart aircraft (Code: 30132).
165,"Low power, please replace the battery.",381,"Low power, please replace the battery."
166,QuickShot has ended.,266,QuickShot has ended.
167,Remote controller battery level low. Recharge promptly (Code: 60001).,256,Remote controller battery level low. Recharge promptly (Code: 60001).
168,Remote controller signal lost (Code: 30029).,335,Remote controller signal lost (Code: 30029).
169,Returning Home.,278,Returning Home.
170,SD card malfunction. Change card (Code: 10023).,241,SD card malfunction. Change card (Code: 10023).
171,Weak signal. Adjust antenna and avoid signal block.,18,Weak signal. Adjust antenna and avoid signal block.
172,Accelerator is Over Range.,497,Accelerator is Over Range.
173,Aircraft in Authorization Zone. Unable to take off before unlocking (Code: 3000005).,340,Aircraft in Authorization Zone. Unable to take off before unlocking (Code: 3000005).
174,Aircraft in Restricted Zones. Check map to find Recommended Zones (Code: 30083).,448,Aircraft in Restricted Zones. Check map to find Recommended Zones (Code: 30083).
175,Backward Obstacle Sensing is not functioning.,30,Backward Obstacle Sensing is not functioning.
176,"Camera busy, cannot enter playback.",465,"Camera busy, cannot enter playback."
177,Cannot Enter TapFly. Cannot fly in that direction.,406,Cannot Enter TapFly. Cannot fly in that direction.
178,Critical low battery. Recharge promptly (Code: 30077).,212,Critical low battery. Recharge promptly (Code: 30077).
179,"Critically Low Voltage Warning. Land as soon as possible, otherwise the battery will be damaged",391,"Critically Low Voltage Warning. Land as soon as possible, otherwise the battery will be damaged"
180,Current elevation above nnn. Fly with caution (Code: 30152).,180,Current elevation above nnn. Fly with caution (Code: 30152).
181,Drone is Vibrating.,375,Drone is Vibrating.
182,"Excessive attitude angle detected, forward obstacle avoidance has stopped working.",263,"Excessive attitude angle detected, forward obstacle avoidance has stopped working."
183,Failed to cancel landing.,84,Failed to cancel landing.
184,Forward Obstacle Sensing is not functioning.,30,Forward Obstacle Sensing is not functioning.
185,Gimbal nnn roll axis endpoint reached.,543,Gimbal nnn roll axis endpoint reached.
186,Home Point Recorded.,57,Home Point Recorded.
187,Landing Canceled.,410,Landing Canceled.
188,Low battery voltage. Fly with caution (Code: 110011).,328,Low battery voltage. Fly with caution (Code: 110011).
189,Manned aircraft approaching. Fly at a safe altitude (Code: 30180).,35,Manned aircraft approaching. Fly at a safe altitude (Code: 30180).
190,Motor error. Check propellers and fly with caution (Code: 120652).,204,Motor error. Check propellers and fly with caution (Code: 120652).
191,Weak GPS signal. Positioning accuracy may be compromised. Please fly with caution.,64,Weak GPS signal. Positioning accuracy may be compromised. Please fly with caution.
192,Abnormal compass function or GPS signal detected. Aircraft switched to ATTI mode.,376,Abnormal compass function or GPS signal detected. Aircraft switched to ATTI mode.
193,Aircraft entered Fixed-Wing Mode. Current flight speed is nnn. Press C2 to exit.,285,Aircraft entered Fixed-Wing Mode. Current flight speed is nnn. Press C2 to exit.
194,Aircraft GPS interference. Aircraft unable to fly stably. Land or reutrn to home promptly (Code: 30245).,307,Aircraft GPS interference. Aircraft unable to fly stably. Land or reutrn to home promptly (Code: 30245).
195,Aircraft pitch angle too large. Ensure aircraft is level before taking off (Code: 30087).,373,Aircraft pitch angle too large. Ensure aircraft is level before taking off (Code: 30087).
196,Aircraft will automatically descend in nnn.,282,Aircraft will automatically descend in nnn.
197,"Aircraft will not enter S-mode if powered on with the remote controller set to S-mode. Please switch to Normal mode, then back to S-mode to enable it.",472,"Aircraft will not enter S-mode if powered on with the remote controller set to S-mode. Please switch to Normal mode, then back to S-mode to enable it."
198,Auto Landing in nnn(s).,350,Auto Landing in nnn(s).
199,Battery installed incorrectly. Detach battery and reinstall it (Code: 30068).,347,Battery installed incorrectly. Detach battery and reinstall it (Code: 30068).
200,Battery level low. Charge battery (Code: 30078).,466,Battery level low. Charge battery (Code: 30078).
201,Battery: Connection Error.,316,Battery: Connection Error.
202,Cache Space Full.,454,Cache Space Full.
203,Camera not calibrated. Image quality affected. Contact DJI Support for assistance (Code: 10016).,142,Camera not calibrated. Image quality affected. Contact DJI Support for assistance (Code: 10016).
204,Camera not calibrated. Image quality affected. Contact DJI Support for assistance (Code: 10017).,142,Camera not calibrated. Image quality affected. Contact DJI Support for assistance (Code: 10017).
205,Camera Settings Adjusted.,352,Camera Settings Adjusted.
206,Cannot enter the selected flight mode. Try again later.,318,Cannot enter the selected flight mode. Try again later.
207,Capture Failed. The aircraft is moving. Cannot shoot panorama.,478,Capture Failed. The aircraft is moving. Cannot shoot panorama.
208,Critical low battery. Aircraft in Auto Power Off Protection. Forced landing in progress (Code: 110014).,23,Critical low battery. Aircraft in Auto Power Off Protection. Forced landing in progress (Code: 110014).
209,Critically Low Voltage Warning. Aircraft will be forced to land.,155,Critically Low Voltage Warning. Aircraft will be forced to land.
210,Disable SD card read and write protection or change card (Code: 10024).,397,Disable SD card read and write protection or change card (Code: 10024).
211,Downward vision sensor error. Contact DJI Support for assistance (Code: 180016).,39,Downward vision sensor error. Contact DJI Support for assistance (Code: 180016).
212,Downward vision sensor error. Contact DJI Support for assistance (Code: 180017).,39,Downward vision sensor error. Contact DJI Support for assistance (Code: 180017).
213,Extra payload detected. Flight performance will be affected. Fly with caution.,502,Extra payload detected. Flight performance will be affected. Fly with caution.
214,File system error. Change SD card (Code: 10025).,349,File system error. Change SD card (Code: 10025).
215,Gimbal Yaw Limit Reached.,202,Gimbal Yaw Limit Reached.
216,GPS signal weak. Positioning accuracy affected. Fly with caution (Code: 30049).,64,GPS signal weak. Positioning accuracy affected. Fly with caution (Code: 30049).
217,Landing gear function restored.,326,Landing gear function restored.
218,Max altitude reached (Altitude limit: nnn) (Code: 20000001).,235,Max altitude reached (Altitude limit: nnn) (Code: 20000001).
219,Payload mode enabled. Max altitude set to nnn and max distance set to nnn. Fly in a wind-free environment to ensure flight safety (Code: 30230).,102,Payload mode enabled. Max altitude set to nnn and max distance set to nnn. Fly in a wind-free environment to ensure flight safety (Code: 30230).
220,Propellers not installed (Code: 30144).,127,Propellers not installed (Code: 30144).
221,Right dial locked. Please press to adjust.,73,Right dial locked. Please press to adjust.
222,RTH altitude adjusted to nnn (Code: 120852).,69,RTH altitude adjusted to nnn (Code: 120852).
223,The aircraft is flying back to the start point.,60,The aircraft is flying back to the start point.
224,Vision sensor error. Contact DJI Support for assistance (Code: 180030).,39,Vision sensor error. Contact DJI Support for assistance (Code: 180030).
225,Warning: Command Failed.,474,Warning: Command Failed.
226,Warning: Motor Obstructed.,437,Warning: Motor Obstructed.
227,Weak image transmission signal. Adjust antennas (Code: 80004).,436,Weak image transmission signal. Adjust antennas (Code: 80004).
228,Your aircraft is at the boundary of an Authorization Zone. Please fly away with caution.,504,Your aircraft is at the boundary of an Authorization Zone. Please fly away with caution.
229,A passenger aircraft is approaching. Descend as soon as possible.,42,A passenger aircraft is approaching. Descend as soon as possible.
230,A passenger aircraft is nearby. Fly with caution.,54,A passenger aircraft is nearby. Fly with caution.
231,ActiveTrack Flight Ended: Aircraft is entering a restricted area.,193,ActiveTrack Flight Ended: Aircraft is entering a restricted area.
232,ActiveTrack Flight Ended: Cannot find subject.,336,ActiveTrack Flight Ended: Cannot find subject.
233,ActiveTrack Flight Ended: Control Signal Timeout (RC).,480,ActiveTrack Flight Ended: Control Signal Timeout (RC).
234,ActiveTrack Flight Paused.,303,ActiveTrack Flight Paused.
235,ActiveTrack Flight Stopped. Aircraft Entering Restricted Area.,193,ActiveTrack Flight Stopped. Aircraft Entering Restricted Area.
236,Advanced RTH Image Transmission Recovered. Aircraft is returning home.,10,Advanced RTH Image Transmission Recovered. Aircraft is returning home.
237,AE Locked. Metering disabled.,399,AE Locked. Metering disabled.
238,Aircraft ActiveTrack available at max speed. Obstacle Avoidance is not available.,112,Aircraft ActiveTrack available at max speed. Obstacle Avoidance is not available.
239,"Aircraft ActiveTrack available at max speed. When exceeding nnn, Obstacle Avoidance is not available.",112,"Aircraft ActiveTrack available at max speed. When exceeding nnn, Obstacle Avoidance is not available."
240,Aircraft ActiveTrack max speed of nnn. Left and right Obstacle Sensing systems are available.,16,Aircraft ActiveTrack max speed of nnn. Left and right Obstacle Sensing systems are available.
241,Aircraft approaching obstacle sensing blind spot and may be unable to detect obstacles. Fly with caution.,270,Aircraft approaching obstacle sensing blind spot and may be unable to detect obstacles. Fly with caution.
242,"Aircraft close to Home Point. ""go home"" shifts to ""landing"".",50,"Aircraft close to Home Point. ""go home"" shifts to ""landing""."
243,Aircraft Core Board Overheated.,302,Aircraft Core Board Overheated.
244,Aircraft exceeded distance limit and has exited Hyperlapse mode.,259,Aircraft exceeded distance limit and has exited Hyperlapse mode.
